SPECIES,REP,TISSUE,TISSUE_A,CODE,SEX,TIBIA_MM,WING_MM,THORAX_MM
PR,4,Beef Liver,Liver 9,PR.L9.F4,F,1.899,5.821,3.146
PR,4,Beef Liver,Liver 9,PR.L9.F5,F,2.172,6.705,3.492
PR,5,Beef Liver,Liver 10,PR.L10.F1,F,2.014,6.574,3.437
PR,5,Beef Liver,Liver 10,PR.L10.F2,F,2.018,6.216,3.315
PR,5,Beef Liver,Liver 10,PR.L10.F3,F,2.027,6.71,3.479
PR,5,Beef Liver,Liver 10,PR.L10.F4,F,1.906,6.424,3.133
PR,5,Beef Liver,Liver 10,PR.L10.F5,F,2.19,7.554,3.774
PR,1,Kidney,Kidney 1,PR.K1.F1,F,2.504,8.093,4.228
PR,1,Kidney,Kidney 1,PR.K1.F2,F,2.279,7.088,3.874
PR,1,Kidney,Kidney 1,PR.K1.F3,F,2.383,7.38,3.616
PR,1,Kidney,Kidney 1,PR.K1.F4,F,2.14,7.568,3.789
PR,1,Kidney,Kidney 1,PR.K1.F5,F,2.044,6.336,3.482
PR,2,Kidney,Kidney 2,PR.K2.F1,F,2.269,7.504,3.798
PR,2,Kidney,Kidney 2,PR.K2.F2,F,2.136,7.092,3.403
PR,2,Kidney,Kidney 2,PR.K2.F3,F,2.008,7.008,3.598
PR,2,Kidney,Kidney 2,PR.K2.F4,F,2.205,7.111,3.737
PR,2,Kidney,Kidney 2,PR.K2.F5,F,2.303,7.183,3.608
PR,3,Kidney,Kidney 3,PR.K3.F1,F,2.279,7.359,3.845
PR,3,Kidney,Kidney 3,PR.K3.F2,F,2.259,7.242,3.779
PR,3,Kidney,Kidney 3,PR.K3.F3,F,2.332,7.162,3.638
PR,3,Kidney,Kidney 3,PR.K3.F4,F,2.103,7.334,3.591
PR,3,Kidney,Kidney 3,PR.K3.F5,F,2.153,7.579,4.046
PR,4,Kidney,Kidney 4,PR.K4.F1,F,2.257,7.352,3.71
PR,4,Kidney,Kidney 4,PR.K4.F2,F,2.091,7.276,3.589
PR,4,Kidney,Kidney 4,PR.K4.F3,F,2.107,7.152,3.672
PR,4,Kidney,Kidney 4,PR.K4.F4,F,2.051,7.028,3.452
PR,4,Kidney,Kidney 4,PR.K4.F5,F,2.32,7.535,3.699
PR,5,Kidney,Kidney 5,PR.K5.F1,F,2.28,7.632,3.853
PR,5,Kidney,Kidney 5,PR.K5.F2,F,2.115,7.212,3.734
PR,5,Kidney,Kidney 5,PR.K5.F3,F,2.258,7.378,3.556
PR,5,Kidney,Kidney 5,PR.K5.F4,F,2.109,7.414,3.708
PR,5,Kidney,Kidney 5,PR.K5.F5,F,2.089,7.363,3.962
PR,1,Brain,Brain 1,PR.B1.F1,F,1.94,7.222,3.634
PR,1,Brain,Brain 1,PR.B1.F2,F,1.809,6.577,3.525
PR,1,Brain,Brain 1,PR.B1.F3,F,2.114,6.757,3.478
PR,1,Brain,Brain 1,PR.B1.F4,F,2.102,6.783,3.645
PR,1,Brain,Brain 1,PR.B1.F5,F,2.251,7.195,3.748
PR,2,Brain,Brain 2,PR.B2.F1,F,2.249,7.645,3.955
PR,2,Brain,Brain 2,PR.B2.F2,F,2.205,7.573,3.938
PR,2,Brain,Brain 2,PR.B2.F3,F,2.37,7.38,3.938
PR,2,Brain,Brain 2,PR.B2.F4,F,2.086,7.478,3.869
PR,2,Brain,Brain 2,PR.B2.F5,F,2.174,7.455,3.772
PR,3,Brain,Brain 3,PR.B3.F1,F,2.072,6.745,3.496
PR,3,Brain,Brain 3,PR.B3.F2,F,2.163,7.027,3.558
PR,3,Brain,Brain 3,PR.B3.F3,F,2.13,6.872,3.525
PR,3,Brain,Brain 3,PR.B3.F4,F,2.121,6.811,3.461
PR,3,Brain,Brain 3,PR.B3.F5,F,2.053,6.946,3.454
