DATE,DAY,SEASON,TEST SITE,HABITAT,SAMPLE TYPE,CLASS,ORDER,SUBORDER,SUPERFAMILY,FAMILY,SUBFAMILY,TRIBE,SUBTRIBE,GENUS ,SPECIES,STAGE COLL.,# COLLECTED,# FEMALE,# MALE,# UNKNOWN,NOTES,,Total
2-Aug-15,3,Summer,Urban East 1,,Wasp,,,,,,,,,Lucilia,coeruliviridis,Adult,0,0,0,0,,,
2-Aug-15,3,Summer,Urban East 1,,Wasp,,,,,,,,,Phormia,regina,Adult,0,0,0,0,,,
2-Aug-15,3,Summer,Urban East 1,,Wasp,Phormia,regina,,Adult,1,1,0,,Calliphora,vicina,Adult,1,1,0,0,,,
2-Aug-15,3,Summer,Urban East 1,,Wasp,,,,,,,,,Protophormia ,terranovae,Adult,0,0,0,0,,,
2-Aug-15,3,Summer,Urban East 1,,Wasp,,,,,,,,,Cochliomyia,macellaria,Adult,0,0,0,0,,,
2-Aug-15,3,Summer,Park Mid 1,,Wasp,Calliphora,vicina,,Adult,15,5,10,,Lucilia,sericata,Adult,117,107,8,2,,,
2-Aug-15,3,Summer,Park Mid 1,,Wasp,Lucilia,sericata,,Adult,14,14,0,,Lucilia,coeruliviridis,Adult,167,151,15,1,,,
2-Aug-15,3,Summer,Park Mid 1,,Wasp,Lucilia,coeruliviridis,,Adult,71,66,5,,Phormia,regina,Adult,20,19,1,0,,,
2-Aug-15,3,Summer,Park Mid 1,,Wasp,Phormia,regina,,Adult,1,1,0,,Calliphora,vicina,Adult,23,13,10,0,,,
2-Aug-15,3,Summer,Park Mid 1,,Wasp,,,,,,,,,Protophormia ,terranovae,Adult,0,0,0,0,,,
2-Aug-15,3,Summer,Park Mid 1,,Wasp,,,,,,,,,Cochliomyia,macellaria,Adult,0,0,0,0,,,
2-Aug-15,3,Summer,Urban West 1,,Wasp,Calliphora,vicina,,Adult,8,3,5,,Lucilia,sericata,Adult,28,27,1,0,,,
2-Aug-15,3,Summer,Urban West 1,,Wasp,,,,,,,,,Lucilia,coeruliviridis,Adult,10,8,2,0,,,
2-Aug-15,3,Summer,Urban West 1,,Wasp,,,,,,,,,Phormia,regina,Adult,8,6,2,0,,,
2-Aug-15,3,Summer,Urban West 1,,Wasp,Lucilia,sericata,,Adult,9,9,0,,Calliphora,vicina,Adult,3,1,2,0,,,
2-Aug-15,3,Summer,Urban West 1,,Wasp,,,,,,,,,Protophormia ,terranovae,Adult,0,0,0,0,,,
2-Aug-15,3,Summer,Urban West 1,,Wasp,,,,,,,,,Cochliomyia,macellaria,Adult,0,0,0,0,,,
